Order No,Part No,Part Description,Supplier Name,Promised Delivery Date,Actual Delivery Date,Delay (Days),Is Overdue
15232479,8112255,O-ring 14.1x1.6 PU90,Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232479,8131875,Hose Dn 10-400 2.0m Ci Disc Elb,Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232479,8131876,Hose Dn6-400 0.280m PA Strght,Supplier_A9A219,2025-04-15,2025-04-04,-11,False
15232466,8131871,Mast Clamp Set,Supplier_96E3C4,2025-04-04,2025-04-07,3,True
15232160,8116434,"Plug CEE, 2P+E, 16A, 200-250V, IP44",Supplier_16ABF0,2025-03-04,2025-02-28,-4,False
15232160,8117365,"Extension Cord, C14-C13, 2m",Supplier_16ABF0,2025-03-04,2025-02-28,-4,False
15232160,8131063,CEE CONNECTOR 3 polet 16A 200-250V 6H 216EC6,Supplier_16ABF0,2025-03-04,2025-02-28,-4,False
15232160,8131064,Power Cable Adapter Cable C13-C14 3m,Supplier_16ABF0,2025-03-04,2025-02-28,-4,False
15234458,8007253,Release Hose 1/2 Inch  L=400mm,Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8044854,"Hose 1 1/2 Inch, G2 SN, 2 x 1 1/2 Inch BSP Nut SS316, 1 Mtr. Length",Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8044855,"Hose 1/2 Inch, M3K, 2 x 1/2 Inch BSP Nut SS316, 350 mm Length",Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8044856,"Hose 1/2 Inch, M3K, 3/4 Inch BSP 90° Elbow x 1/2 Inch BSP 90° Elbow SS316, 1 Mtr. Length",Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8044883,"Hose 3/4 Inch, M3K, 1 x 3/4 Inch BSP Nut SS316, 1400mm Length",Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8089899,Suction Hose 1 1/2 Inch Pump 1-2-7-8,Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8089900,High Pressure Hose Pump 1-2-7-8,Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8089901,Suction Hose 1 1/2 Inch Pump 3-4-5-6,Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8089902,High Pressure Hose Pump 3-4-5-6,Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8089903,Suction Hose Pilot Pump,Supplier_39454D,2025-04-23,2025-05-06,13,True
15234458,8089904,High Pressure Hose Pilot Pump,Supplier_39454D,2025-04-23,2025-05-06,13,True
